Item,position,modality,cat,Condition,solution,property,concept,mean_auditory,mean_haptic,mean_visual,mean_perceptualstrength,mean_concreteness,mean_exclusivity,LSA_distance,prop_letters,prop_concreteness,prop_exclusivity,prop_lg10CD,prop_orthneigh,conc_letters,conc_concreteness,conc_exclusivity,conc_lg10CD,conc_orthneigh
189,prime,auditory,a_het,auditory2visual,Ja,Fluisterend,Doel,3.056,1.519,1.625,3.056,2.13,0.300684485,,11,,0.389830508,1.3,2,4,2.13,0.211538462,3.3,16
204,prime,auditory,a_de,auditory2visual,Nee,Grommende,Economie,3.771,0.708,2.722,3.771,1.53,0.412207358,,9,,0.47826087,0.95,1,8,1.53,0.346153846,2.44,0
29,target,visual,v_het,haptic2visual,Ja,Tenger,Effect,1.5,1.557,3.671,3.671,2.535,0.417843389,0.917275,6,3,0.421052632,1.3,1,6,2.07,0.414634146,2.77,0
33,target,visual,v_het,haptic2visual,Ja,Elegant,Effect,1.667,0.691,3.238,3.238,2.2,0.457317073,0.949052,7,2.33,0.5,2.31,1,6,2.07,0.414634146,2.77,0
60,target,visual,v_het,visual2visual,Ja,Nauw,Effect,1.7,1.157,3.371,3.371,2.4,0.37398374,1.04643,4,2.73,0.333333333,2.36,8,6,2.07,0.414634146,2.77,0
72,target,visual,v_het,visual2visual,Ja,Grotesk,Effect,1,0.691,3.571,3.571,2.075,0.635888502,0.94522,7,2.08,0.857142857,1.34,1,6,2.07,0.414634146,2.77,0
179,prime,visual,v_het,visual2visual,Ja,Glitterend,Effect,1.4,1.157,3.671,3.671,2.07,0.464892831,,10,,0.515151515,0.48,0,6,2.07,0.414634146,2.77,0
78,target,visual,v_de,auditory2visual,Ja,Doffe,Eigenaar,2.238,1.357,3.048,3.048,3.065,0.256535948,0.958726,5,3.2,0.277777778,1.34,2,8,2.93,0.235294118,3.02,1
106,target,visual,v_de,auditory2visual,Nee,Fuchsia,Eigenaar,1.134,0.92,3.902,3.902,3.735,0.577106519,0.94063,7,4.54,0.918918919,1,0,8,2.93,0.235294118,3.02,1
186,prime,auditory,a_de,auditory2visual,Nee,Stormachtige,Eis,3.656,1.938,3,3.656,2.6,0.232600733,0.9187,12,3.4,0.131868132,1.45,1,3,1.8,0.333333333,2.64,13
196,prime,auditory,a_het,auditory2visual,Nee,Schor,Enthousiasme,4.578,2.278,2.456,4.578,2.83,0.337784091,0.859341,5,3.13,0.59375,1.11,7,12,2.53,0.081818182,2.25,1
176,prime,visual,v_de,visual2visual,Ja,Korte,Expansie,1,1.625,3.625,3.625,2.565,0.413461539,0.974158,5,3,0.576923077,3.05,14,8,2.13,0.25,1.04,0
194,prime,auditory,a_het,auditory2visual,Nee,Gillend,Feit,3.389,1.333,1.889,3.389,1.67,0.313265306,,7,,0.326530612,1.87,2,4,1.67,0.3,3.15,3
199,prime,auditory,a_de,auditory2visual,Nee,Blaffende,Felicitatie,4.295,1.161,2.777,4.295,2.67,0.374603175,,9,,0.471428571,1.34,2,11,2.67,0.277777778,1.2,1
177,prime,visual,v_de,visual2visual,Ja,Bolvormige,Formatie,0.863,1.738,3.413,3.413,2.9,0.432432432,0.83644,10,3.67,0.486486486,0.48,0,8,2.13,0.378378378,2.04,0
43,target,visual,v_het,visual2visual,Nee,Koortsig,Fortuin,1.071,1.886,2.414,2.414,2.635,0.25,1.05603,8,2.67,0.25,1.42,0,7,2.6,0.25,2.69,0
66,target,visual,v_het,visual2visual,Nee,Kleurrijk,Fortuin,0.96,1.064,3.214,3.214,2.9,0.447916667,0.914891,9,3.2,0.645833333,1.76,1,7,2.6,0.25,2.69,0
150,prime,visual,v_het,visual2visual,Nee,Weinig,Fortuin,1.071,1.686,2.214,2.214,1.965,0.229166667,0.816837,6,1.33,0.208333333,3.49,3,7,2.6,0.25,2.69,0
173,prime,visual,v_het,visual2visual,Nee,Licht,Fortuin,0.821,1.911,3.173,3.173,3.265,0.38125,0.945551,5,3.93,0.5125,3.43,10,7,2.6,0.25,2.69,0
70,target,visual,v_het,visual2visual,Nee,Onbeweeglijk,Gebaar,0.633,1.567,3.722,3.722,3.03,0.51532567,0.872001,12,2.93,0.444444444,1.23,0,6,3.13,0.586206896,2.48,4
136,prime,haptic,h_de,haptic2visual,Nee,Klamme,Geest,0.967,2.567,1.478,2.567,2.57,0.355983773,0.834267,6,3.27,0.470588235,1.4,10,5,1.87,0.24137931,3.28,9
206,prime,auditory,a_het,auditory2visual,Nee,Kreunend,Gelach,4.882,1.167,3.16,4.882,4,0.416666667,,8,,0.5,0.78,1,6,4,0.333333333,1.95,0
27,target,visual,v_de,haptic2visual,Nee,Gebogen,Gelegenheid,1.024,1.913,3.151,3.151,2.835,0.383802817,0.96045,7,3.6,0.267605634,2.04,8,11,2.07,0.5,2.75,1
36,target,visual,v_de,haptic2visual,Ja,Gouden,Gelegenheid,0.657,1.157,3.529,3.529,2.87,0.53125,0.897149,6,3.67,0.5625,2.95,7,11,2.07,0.5,2.75,1
214,prime,auditory,a_het,auditory2visual,Ja,Schel,Geluid,3.619,1.183,0.706,3.619,3.27,0.520108696,0.618908,5,2.87,0.475,1,10,6,3.67,0.565217391,3.14,4
187,prime,auditory,a_het,auditory2visual,Nee,Knarsend,Gerucht,4.536,1.696,1.732,4.536,2,0.267857143,,9,,0.25,0.7,1,7,2,0.285714286,2.61,4
111,prime,haptic,h_het,haptic2visual,Nee,Gewichtloos,Geweer,1.848,3.214,3.143,3.214,3.83,0.177732794,0.774708,11,2.73,0.263157895,1.28,0,6,4.93,0.092307692,3.06,3
114,prime,haptic,h_het,haptic2visual,Nee,Pijnvol,Heft,1.433,2.65,2.567,2.65,2.71,0.205128205,,7,,0.076923077,0.48,0,4,2.71,0.333333333,2.03,8
120,prime,haptic,h_het,haptic2visual,Ja,Hard,Heft,1.458,2.938,2.292,2.938,3.055,0.238095238,0.890188,4,3.4,0.142857143,3.6,12,4,2.71,0.333333333,2.03,8
125,prime,haptic,h_het,haptic2visual,Nee,Pulserend,Heft,1.333,2.393,1.81,2.393,2.71,0.256410256,,9,,0.179487179,0.48,0,4,2.71,0.333333333,2.03,8
133,prime,haptic,h_het,haptic2visual,Nee,Borstelig,Heft,0.833,3.25,3.042,3.25,3.155,0.338095238,0.898736,9,3.6,0.342857143,0.48,0,4,2.71,0.333333333,2.03,8
141,prime,haptic,h_het,haptic2visual,Ja,Koel,Heft,0.733,2.75,1.667,2.75,3.055,0.395833333,0.866279,4,3.4,0.458333333,2.52,17,4,2.71,0.333333333,2.03,8
192,prime,auditory,a_de,auditory2visual,Ja,Knallende,Herinnering,3.286,1.171,2.2,3.286,1.87,0.309210527,,9,,0.368421053,1.38,2,11,1.87,0.25,2.8,0
22,target,visual,v_de,haptic2visual,Ja,Roestige,Hoeveelheid,1.268,2.089,3.964,3.964,2.73,0.366666667,0.9656,8,3.53,0.433333333,1.65,1,11,1.93,0.3,2.5,0
30,target,visual,v_de,haptic2visual,Nee,Beige,Hoeveelheid,1.032,1.659,3.548,3.548,3.265,0.420833334,0.950069,5,4.6,0.541666667,1.76,1,11,1.93,0.3,2.5,0
89,target,visual,v_de,auditory2visual,Nee,Vlezige,Huur,1.143,1.8,3.086,3.086,2.965,0.342320262,0.947536,7,3.13,0.361111111,1.04,0,4,2.8,0.323529412,2.95,9
104,target,visual,v_de,auditory2visual,Nee,Rode,Huur,0.893,0.75,3.661,3.661,3.565,0.531329924,0.987542,4,4.33,0.739130435,3.19,1,4,2.8,0.323529412,2.95,9
46,target,visual,v_het,visual2visual,Nee,Solide,Ideaal,1.5,2.571,3.214,3.214,1.85,0.269354839,0.891126,6,2.17,0.338709677,2,0,6,1.53,0.2,2.44,0
148,prime,visual,v_het,visual2visual,Ja,Wild,Ideaal,2.2,1.643,3.114,3.114,2.33,0.209756098,0.864252,5,3.13,0.219512195,3.82,6,6,1.53,0.2,2.44,0
211,prime,auditory,a_de,auditory2visual,Nee,Melodieuze,Kennis,3.811,0.7,1.933,3.811,2,0.494623656,0.959205,10,2.53,0.666666667,0.85,0,6,1.47,0.322580645,3.22,1
74,target,visual,v_de,auditory2visual,Ja,Levende,Kip,3.05,2.75,3.486,3.486,3.9,0.079850746,0.76092,7,2.93,0.1,2.83,5,3,4.87,0.059701492,2.96,18
160,prime,visual,v_de,visual2visual,Ja,Zwarte,Kip,2.056,1.944,3.73,3.73,4.57,0.284567727,0.88176,6,4.27,0.509433962,3.33,4,3,4.87,0.059701492,2.96,18
17,target,visual,v_de,haptic2visual,Ja,Ondiepe,Kwestie,1.188,1.813,2.938,2.938,2.365,0.332810867,0.879064,7,3.2,0.424242424,1.54,1,7,1.53,0.24137931,3.03,1
193,prime,auditory,a_de,auditory2visual,Ja,Sissende,Laster,2.95,1.05,1.663,2.95,2.33,0.309615385,,8,,0.369230769,1.04,0,6,2.33,0.25,1.84,4
195,prime,auditory,a_de,auditory2visual,Ja,Morrende,Leiding,3.571,1.405,2.119,3.571,2.67,0.326794258,,8,,0.526315789,0.3,0,7,2.67,0.127272727,3.09,0
2,target,visual,v_de,haptic2visual,Ja,Zwoele,Levering,2.367,1.767,2.733,2.733,2.865,0.147727273,0.973728,6,2.53,0.25,1.48,2,8,3.2,0.045454546,2.19,1
4,target,visual,v_de,haptic2visual,Ja,Beschimmelde,Levering,1.667,1.667,3.333,3.333,3.335,0.272727273,0.87933,12,3.47,0.5,1.2,0,8,3.2,0.045454546,2.19,1
50,target,visual,v_de,visual2visual,Ja,Losse,Levering,1.367,1.867,3.033,3.033,3.2,0.311188812,0.933941,5,3.2,0.576923077,2.47,20,8,3.2,0.045454546,2.19,1
73,target,visual,v_de,auditory2visual,Nee,Pijnlijke,Levering,2.278,2.278,2.611,2.611,3.035,0.046536797,0.980362,9,2.87,0.047619048,2.4,1,8,3.2,0.045454546,2.19,1
146,prime,visual,v_de,visual2visual,Nee,Weerkaatsende,Levering,2.467,1.667,2.933,2.933,3.2,0.184491979,,13,,0.323529412,0.3,0,8,3.2,0.045454546,2.19,1
156,prime,visual,v_de,visual2visual,Ja,Onmetelijke,Levering,1.542,1.792,2.958,2.958,2.335,0.260822511,1.02835,11,1.47,0.476190476,1.26,0,8,3.2,0.045454546,2.19,1
161,prime,visual,v_de,visual2visual,Nee,Dode,Levering,1.611,1.389,2.556,2.556,3.265,0.287433156,0.939932,4,3.33,0.529411765,3.24,19,8,3.2,0.045454546,2.19,1
7,target,visual,v_het,haptic2visual,Ja,Schriel,Loon,1.452,1.905,3.369,3.369,2.7,0.277219873,0.913305,7,2.33,0.395348837,1.04,0,4,3.07,0.159090909,2.8,13
49,target,visual,v_het,visual2visual,Nee,Mistig,Loon,1.186,2.171,3.286,3.286,3.47,0.308116883,0.934111,6,3.87,0.457142857,1.7,2,4,3.07,0.159090909,2.8,13
77,target,visual,v_het,auditory2visual,Nee,Hobbelig,Loon,1.286,2.671,2.986,2.986,3.335,0.237440192,1.03941,8,3.6,0.315789474,1.58,0,4,3.07,0.159090909,2.8,13
81,target,visual,v_het,auditory2visual,Nee,Stoffig,Loon,1.23,2.294,3.119,3.119,3.47,0.277958153,0.881351,7,3.87,0.396825397,1.76,1,4,3.07,0.159090909,2.8,13
145,prime,visual,v_het,visual2visual,Nee,Breekbaar,Loon,1.586,2.321,2.636,2.636,3.1,0.160427808,0.920184,9,3.13,0.161764706,1.9,0,4,3.07,0.159090909,2.8,13
147,prime,visual,v_het,visual2visual,Nee,Druk,Loon,1.848,1.884,2.848,2.848,3.035,0.188636364,0.895827,4,3,0.218181818,3.65,7,4,3.07,0.159090909,2.8,13
51,target,visual,v_de,visual2visual,Nee,Aardse,Magie,1.167,0.952,2.286,2.286,1.97,0.312807882,0.839526,6,2.07,0.142857143,2.18,6,5,1.87,0.482758621,2.75,1
105,target,visual,v_de,auditory2visual,Nee,Lage,Magie,0.7,0.986,3.386,3.386,2.335,0.558045977,0.96932,4,2.8,0.633333333,2.61,0,5,1.87,0.482758621,2.75,1
1,target,visual,v_het,haptic2visual,Nee,Kokend,Mandaat,1.806,1.528,2.306,2.306,1.93,0.131191951,0.901574,6,,0.144736842,1.77,4,7,1.93,0.117647059,1.49,0
162,prime,visual,v_het,visual2visual,Nee,Rot,Mandaat,0.729,1.479,2.396,2.396,2.965,0.294117647,1.07219,3,4,0.470588235,3.33,24,7,1.93,0.117647059,1.49,0
164,prime,visual,v_het,visual2visual,Nee,Nevelig,Mandaat,0.617,1.517,2.183,2.183,2.7,0.30020284,0.885476,7,3.47,0.482758621,0.3,0,7,1.93,0.117647059,1.49,0
140,prime,haptic,h_de,haptic2visual,Ja,Warme,Massage,1.236,4.306,2.361,4.306,3.835,0.388146168,0.752902,5,3.47,0.393939394,2.87,9,7,4.2,0.382352941,2.31,3
87,target,visual,v_de,auditory2visual,Ja,Vochtige,Mist,1.04,2.405,3.302,3.302,4.12,0.335716777,0.690076,8,3.71,0.245901639,1.77,1,4,4.53,0.425531915,3.16,15
102,target,visual,v_de,auditory2visual,Nee,Groene,Mist,0.829,1.571,4.057,4.057,4.365,0.503088538,0.770451,6,4.2,0.580645161,2.94,7,4,4.53,0.425531915,3.16,15
42,target,visual,v_het,visual2visual,Ja,Smakeloos,Moment,1.471,0.971,1.986,1.986,1.9,0.22195122,0.925003,9,2.47,0.2,1.75,0,6,1.33,0.243902439,3.7,0
92,target,visual,v_het,auditory2visual,Ja,Schattig,Moment,1.738,0.96,3.064,3.064,1.9,0.367049259,0.785329,8,2.47,0.490196078,2.96,2,6,1.33,0.243902439,3.7,0
151,prime,visual,v_het,visual2visual,Ja,Rommelend,Moment,2.384,1.259,2.723,2.723,1.33,0.231042129,,9,,0.218181818,0.6,12,6,1.33,0.243902439,3.7,0
154,prime,visual,v_het,visual2visual,Nee,Gewelfd,Moment,1.905,1.238,2.702,2.702,2.4,0.250522648,0.876797,7,3.47,0.257142857,0.3,1,6,1.33,0.243902439,3.7,0
178,prime,visual,v_het,visual2visual,Ja,Donker,Moment,1.294,0.96,2.952,2.952,2.665,0.439024391,0.684565,6,4,0.634146342,3.28,1,6,1.33,0.243902439,3.7,0
183,prime,auditory,a_de,auditory2visual,Ja,Ritmische,Neiging,2.522,1.389,1.867,2.522,2.535,0.19375,0.86689,9,3.27,0.2,1,0,7,1.8,0.1875,2.16,0
201,prime,auditory,a_het,auditory2visual,Ja,Luidruchtig,Noodgeval,4.014,1.086,2.486,4.014,2.53,0.385799404,0.814128,11,3.13,0.526315789,2.05,1,9,1.93,0.245283019,2.74,0
159,prime,visual,v_het,visual2visual,Ja,Groot,Onderscheid,1.792,1.646,3.438,3.438,2.5,0.283068783,0.910296,5,3.2,0.380952381,3.7,6,11,1.8,0.185185185,2.1,1
32,target,visual,v_het,haptic2visual,Ja,Briljant,Oosten,1.04,0.587,2.373,2.373,2.6,0.446428572,1.06043,8,1.93,0.25,2.85,1,6,3.27,0.642857143,2.71,5
35,target,visual,v_het,haptic2visual,Nee,Geblokt,Oosten,0.929,0.865,3.151,3.151,3.27,0.528975742,1.02688,7,,0.41509434,1.11,1,6,3.27,0.642857143,2.71,5
63,target,visual,v_het,visual2visual,Nee,Gevormd,Oosten,1.262,1.421,2.762,2.762,3.27,0.394009217,0.945895,7,,0.14516129,2.29,0,6,3.27,0.642857143,2.71,5
103,target,visual,v_het,auditory2visual,Ja,Luchtig,Oosten,0.817,0.921,2.762,2.762,2.87,0.510317461,1.00194,7,2.47,0.377777778,1.73,1,6,3.27,0.642857143,2.71,5
188,prime,auditory,a_de,auditory2visual,Nee,Giechelende,Overeenkomst,4.042,1.556,3.319,4.042,1.93,0.270701755,,11,,0.394736842,0.78,1,12,1.93,0.146666667,2.73,1
96,target,visual,v_de,auditory2visual,Ja,Verouderde,Pels,0.75,1.938,3.188,3.188,3.7,0.406759907,1.08048,10,2.8,0.454545455,1.18,0,4,4.6,0.358974359,1.26,9
107,target,visual,v_de,auditory2visual,Ja,Gespikkelde,Pels,0.375,1.188,3.313,3.313,4.235,0.602564103,0.756941,11,3.87,0.846153846,0.78,0,4,4.6,0.358974359,1.26,9
113,prime,haptic,h_het,haptic2visual,Nee,Kietelend,Pistool,2.161,4.089,3.268,4.089,4.87,0.2,,9,,0.307692308,0.6,1,7,4.87,0.092307692,3.23,0
123,prime,haptic,h_het,haptic2visual,Ja,Heet,Pistool,1.46,1.143,3.46,3.46,2.8,0.246153846,0.773426,4,3.33,0.4,3.74,18,7,2.27,0.092307692,3.23,0
209,prime,auditory,a_het,auditory2visual,Nee,Oorverdovend,Plan,3.444,0.701,1.271,3.444,2.965,0.46474359,0.973202,12,3,0.673076923,1.34,0,4,2.93,0.256410256,3.47,7
213,prime,auditory,a_het,auditory2visual,Ja,Hoorbaar,Plan,3.444,0.576,1.146,3.444,2.9,0.513621795,0.964573,8,2.87,0.770833333,1.15,0,4,2.93,0.256410256,3.47,7
14,target,visual,v_de,haptic2visual,Nee,Diepe,Plug,1.217,2.367,3.5,3.5,3.6,0.326666667,0.914433,5,3.07,0.253333333,2.69,10,4,4.13,0.4,1.56,3
15,target,visual,v_de,haptic2visual,Nee,Betoverende,Plug,1.117,1.667,2.85,2.85,3.2,0.330434783,0.938647,11,2.27,0.260869565,1.72,2,4,4.13,0.4,1.56,3
20,target,visual,v_de,haptic2visual,Ja,Verkoolde,Plug,0.817,1.817,2.85,2.85,4.13,0.362790698,0.91221,9,,0.325581395,1.32,1,4,4.13,0.4,1.56,3
53,target,visual,v_de,visual2visual,Nee,Enorme,Plug,1.083,2,3.25,3.25,2.965,0.338888889,0.970384,6,1.8,0.277777778,3.16,2,4,4.13,0.4,1.56,3
71,target,visual,v_de,visual2visual,Ja,Hoge,Plug,0.517,1.967,4.05,4.05,3.63,0.54375,1.03526,4,3.13,0.6875,3.19,21,4,4.13,0.4,1.56,3
80,target,visual,v_de,auditory2visual,Nee,Pure,Plug,1.167,1.917,2.875,2.875,3.23,0.271428572,0.995621,4,2.33,0.142857143,2.74,8,4,4.13,0.4,1.56,3
82,target,visual,v_de,auditory2visual,Nee,Golvende,Plug,1.792,2.479,3.875,3.875,4.13,0.284415585,0.923349,8,4.13,0.168831169,1.3,2,4,4.13,0.4,1.56,3
83,target,visual,v_de,auditory2visual,Ja,Metalen,Plug,1.417,3.167,3.75,3.75,4.1,0.3,0.86532,7,4.07,0.2,2.38,1,4,4.13,0.4,1.56,3
91,target,visual,v_de,auditory2visual,Nee,Vage,Plug,1.317,1.667,3.05,3.05,3.1,0.348148148,0.958488,4,2.07,0.296296296,2.18,14,4,4.13,0.4,1.56,3
166,prime,visual,v_de,visual2visual,Ja,Stomme,Plug,1.217,1.667,2.85,2.85,3.065,0.325,0.769553,6,2,0.25,3.43,10,4,4.13,0.4,1.56,3
182,prime,auditory,a_de,auditory2visual,Ja,Jammerende,Poëzie,2.722,1.611,2.056,2.722,2.93,0.182138481,,10,,0.254901961,1.2,1,6,2.93,0.109375,2.42,0
9,target,visual,v_de,haptic2visual,Ja,Saaie,President,1.968,0.825,2.516,2.516,2.53,0.292832168,0.934654,5,2.13,0.153846154,2.57,7,9,2.93,0.431818182,3.07,0
25,target,visual,v_de,haptic2visual,Ja,Schone,President,2.007,1.714,3.471,3.471,2.73,0.370230079,0.920504,6,2.53,0.308641975,2.82,4,9,2.93,0.431818182,3.07,0
99,target,visual,v_de,auditory2visual,Nee,Gloeiende,Prijs,1.088,1.513,3.775,3.775,3.24,0.425925926,0.941964,9,3.27,0.5,1.68,4,5,3.21,0.351851852,3.38,3
52,target,visual,v_de,visual2visual,Ja,Lelijke,Prins,1.688,1.482,3.741,3.741,2.83,0.319715143,0.785819,7,2.13,0.465517241,2.84,2,5,3.53,0.173913044,2.78,2
149,prime,visual,v_de,visual2visual,Nee,Vuile,Prins,1.556,2.246,2.929,2.929,3.7,0.224053296,0.938472,5,3.87,0.274193548,3.25,10,5,3.53,0.173913044,2.78,2
19,target,visual,v_de,haptic2visual,Ja,Jankende,Proportie,1.863,1.288,3.013,3.013,1.8,0.346082779,,8,,0.207317073,1.36,2,9,1.8,0.484848485,1.32,1
108,target,visual,v_de,auditory2visual,Ja,Blonde,Pupil,0.607,0.921,4.05,4.05,4.1,0.620110447,0.910093,6,4.4,0.679245283,2.55,4,5,3.8,0.56097561,1.66,0
174,prime,visual,v_de,visual2visual,Ja,Ruige,Pupil,1.545,1.509,3.813,3.813,3.265,0.391598916,0.89657,5,2.73,0.222222222,2.09,5,5,3.8,0.56097561,1.66,0
