Item,position,modality,cat,Condition,solution,property,concept,mean_auditory,mean_haptic,mean_visual,mean_perceptualstrength,mean_concreteness,mean_exclusivity,LSA_distance,prop_letters,prop_concreteness,prop_exclusivity,prop_lg10CD,prop_orthneigh,conc_letters,conc_concreteness,conc_exclusivity,conc_lg10CD,conc_orthneigh
207,prime,auditory,a_de,auditory2visual,Ja,Piepende,Aankondiging,3.83,0.857,1.839,3.83,2.2,0.451495727,,8,,0.422222222,1.08,1,12,2.2,0.480769231,2.06,0
8,target,visual,v_de,haptic2visual,Ja,Plantaardige,Aantekening,1.223,2.491,3.143,3.143,3.165,0.288194445,0.819882,12,2.8,0.354166667,1.26,0,11,3.53,0.222222222,1.76,0
16,target,visual,v_de,haptic2visual,Ja,Lege,Aantekening,1.23,2.095,3.31,3.31,3.5,0.331111111,0.816074,4,3.47,0.44,2.91,13,11,3.53,0.222222222,1.76,0
45,target,visual,v_de,visual2visual,Ja,Kille,Aantekening,1.086,2.029,2.443,2.443,3.37,0.258169935,0.881481,5,3.21,0.294117647,1.91,20,11,3.53,0.222222222,1.76,0
167,prime,visual,v_de,visual2visual,Ja,Olieachtige,Aantekening,0.986,2.729,3.343,3.343,3.53,0.345486111,0.87788,11,,0.46875,0.6,0,11,3.53,0.222222222,1.76,0
212,prime,auditory,a_het,auditory2visual,Ja,Zoemend,Advies,4.59,0.979,1.688,4.59,1.87,0.506112145,,7,,0.603773585,0.85,0,6,1.87,0.408450704,3.04,0
210,prime,auditory,a_het,auditory2visual,Ja,Geluidloos,Antwoord,4,1,2.056,4,2.835,0.470746108,0.810143,10,3,0.52173913,1.11,0,8,2.67,0.419753086,3.53,1
157,prime,visual,v_het,visual2visual,Ja,Vreemd,Aspect,1.938,1.25,2.438,2.438,1.57,0.270186336,0.886507,6,1.67,0.15942029,3.51,2,6,1.47,0.380952381,2.04,0
98,target,visual,v_het,auditory2visual,Nee,Behaard,Beheer,0.425,2.3,2.825,2.825,3.2,0.420930233,1.04916,7,4.07,0.441860465,1.45,6,6,2.33,0.4,1.95,5
31,target,visual,v_de,haptic2visual,Nee,Gevlekte,Belasting,1.107,1.262,3.528,3.528,3.1,0.438251619,0.981789,8,4,0.680851064,1.4,3,9,2.2,0.195652174,2.56,0
90,target,visual,v_de,auditory2visual,Nee,Lenige,Belasting,1.357,1.429,3.5,3.5,2.735,0.347826087,0.991066,6,3.27,0.5,0.85,3,9,2.2,0.195652174,2.56,0
41,target,visual,v_de,visual2visual,Nee,Ijzige,Beurs,1.757,2.029,2.5,2.5,3.07,0.210714286,1.0372,6,3.07,0.171428571,1.57,2,5,3.07,0.25,2.61,1
48,target,visual,v_de,visual2visual,Ja,Rotsige,Beurs,1.307,2.079,2.6,2.6,3.07,0.3046875,0.981565,7,,0.359375,0.78,1,5,3.07,0.25,2.61,1
93,target,visual,v_de,auditory2visual,Ja,Miniatuur,Beurs,1.257,1.929,3.1,3.1,3.37,0.367857143,0.955464,9,3.67,0.485714286,1.38,0,5,3.07,0.25,2.61,1
37,target,visual,v_het,visual2visual,Ja,Brak,Bezit,2.286,2.257,3.314,3.314,2.71,0.149180328,0.901718,4,3.42,0.2,2.9,7,5,2,0.098360656,3.16,4
39,target,visual,v_het,visual2visual,Ja,Hol,Bezit,2.586,2.157,3.414,3.414,3.2,0.167601381,0.907924,3,4.4,0.236842105,2.56,9,5,2,0.098360656,3.16,4
56,target,visual,v_het,visual2visual,Ja,Transparant,Bezit,1.598,1.857,3.777,3.777,2.735,0.353528154,1.05536,11,3.47,0.608695652,1.38,0,5,2,0.098360656,3.16,4
153,prime,visual,v_het,visual2visual,Ja,Bloemrijk,Bezit,1.952,2.024,3.714,3.714,2.715,0.249180328,1.06813,9,3.43,0.4,0.7,0,5,2,0.098360656,3.16,4
23,target,visual,v_de,haptic2visual,Nee,Blauwe,Boerderij,1.96,1.167,3.579,3.579,4.365,0.36710444,0.983035,6,4.53,0.682926829,3.14,4,9,4.2,0.051282051,2.77,0
38,target,visual,v_de,visual2visual,Nee,Elastische,Boerderij,2.571,2.3,3.982,3.982,3.8,0.15275967,1.00684,10,3.4,0.254237288,1.04,1,9,4.2,0.051282051,2.77,0
40,target,visual,v_de,visual2visual,Ja,Smerige,Boerderij,2.238,2.278,3.691,3.691,3.765,0.18005279,0.787197,7,3.33,0.308823529,2.94,3,9,4.2,0.051282051,2.77,0
62,target,visual,v_de,visual2visual,Nee,Pluizige,Boete,0.986,2.343,3.571,3.571,3.435,0.385531136,0.902354,8,4,0.461538462,1.46,0,5,2.87,0.30952381,2.47,8
67,target,visual,v_de,visual2visual,Nee,Bronzen,Boete,0.897,0.81,2.96,2.96,3.3,0.480107527,0.985813,7,3.73,0.766666667,1.61,2,5,2.87,0.193548387,2.47,8
163,prime,visual,v_de,visual2visual,Nee,Getande,Boete,1.348,1.518,2.946,2.946,3.1,0.29920635,0.998269,7,3.33,0.288888889,0.7,1,5,2.87,0.30952381,2.47,8
109,prime,haptic,h_het,haptic2visual,Ja,Gebroken,Bot,1.96,3.135,2.508,3.135,4,0.150597388,0.552381,8,3.53,0.114754098,3.31,3,3,4.47,0.186440678,2.71,29
122,prime,haptic,h_het,haptic2visual,Ja,Broos,Bot,1.571,3.482,2.911,3.482,3.87,0.243220339,0.873392,5,3.27,0.3,1.26,6,3,4.47,0.186440678,2.71,29
191,prime,auditory,a_het,auditory2visual,Nee,Schreeuwend,Compliment,3.444,1.294,2.127,3.444,3.035,0.308147397,0.977691,11,3.67,0.224137931,2.02,2,10,2.4,0.392156863,2.59,0
101,target,visual,v_het,auditory2visual,Nee,Oranje,Concept,1.113,0.838,3.513,3.513,2.965,0.498317915,0.99857,6,4.4,0.655172414,2.45,12,7,1.53,0.341463415,2.34,1
119,prime,haptic,h_het,haptic2visual,Ja,Ruw,Contact,1.714,3.357,2.754,3.357,3.135,0.228896104,0.850669,3,3.87,0.321428571,2.49,11,7,2.4,0.136363636,3.37,2
121,prime,haptic,h_het,haptic2visual,Ja,Mals,Contact,1.839,3.982,3.205,3.982,3.1,0.242094862,1.20917,4,3.8,0.347826087,1.64,13,7,2.4,0.136363636,3.37,2
126,prime,haptic,h_het,haptic2visual,Ja,Bevriezend,Contact,1.514,3.257,2.843,3.257,2.4,0.257836991,,10,,0.379310345,0.3,1,7,2.4,0.136363636,3.37,2
34,target,visual,v_de,haptic2visual,Ja,Effen,Deel,0.75,1.538,3.675,3.675,3.035,0.503496504,0.93126,5,3.4,0.461538462,1.26,4,4,2.67,0.545454545,3.54,13
24,target,visual,v_het,haptic2visual,Nee,Onrijp,Dek,0.813,2.188,3.063,3.063,3.73,0.367860188,1.0097,6,3.13,0.431372549,0.85,0,3,4.33,0.304347826,2.8,22
171,prime,visual,v_het,visual2visual,Ja,Vlak,Dek,0.963,2.475,3.738,3.738,3.7,0.373104146,0.820377,4,3.07,0.441860465,3.21,9,3,4.33,0.304347826,2.8,22
132,prime,haptic,h_de,haptic2visual,Nee,Stekelige,Deken,1.286,3.786,3.714,3.786,4.465,0.284749035,0.795281,9,4.2,0.285714286,0.9,0,5,4.73,0.283783784,2.6,18
185,prime,auditory,a_de,auditory2visual,Nee,Krijsende,Dichter,2.667,1.278,2.167,2.667,2.87,0.22718254,,9,,0.232142857,1.32,2,7,2.87,0.222222222,2.96,6
