participant,group,Lefthanded,Gender,A_V_OK,Event,condition,CONTEXT_Trial,CONTEXT_Item,CONTEXT_Accuracy,CONTEXT_RT,CONTEXT_Position,CONTEXT_cat,CONTEXT_catspec,CONTEXT_solution,CONTEXT_property,CONTEXT_concept,CONTEXT_LSA_distance,CONTEXT_mean_perceptualstrength,CONTEXT_mean_concreteness,CONTEXT_mean_exc,CONTEXT_prop_concreteness,CONTEXT_prop_exc,CONTEXT_prop_lg10CD,CONTEXT_prop_orthneigh,CONTEXT_prop_letters,CONTEXT_conc_concreteness,CONTEXT_conc_exc,CONTEXT_conc_lg10CD,CONTEXT_conc_letters,CONTEXT_mean_lg10CD,CONTEXT_conc_orthneigh,TARGET_Trial,TARGET_Item,TARGET_Accuracy,TARGET_RT,TARGET_Position,TARGET_cat,TARGET_catspec,TARGET_solution,TARGET_property,TARGET_concept,TARGET_LSA_distance,TARGET_mean_perceptualstrength,TARGET_mean_concreteness,TARGET_mean_exc,TARGET_prop_concreteness,TARGET_prop_exc,TARGET_prop_lg10CD,TARGET_prop_orthneigh,TARGET_prop_letters,TARGET_conc_concreteness,TARGET_conc_exc,TARGET_conc_lg10CD,TARGET_conc_letters,TARGET_mean_lg10CD,TARGET_conc_orthneigh,log_cooccurrence_propertytoproperty
1,Quick,N,F,Y,1,haptic2visual,1,117,rightanswer,448,context,haptic,h_de,Ja,Slijmerige,Vloeistof,0.650393,4,3.735,0.222513743,3.27,0.289855072,1.75,1,10,4.2,0.155172414,2.21,9,1.98,0,2,30,rightanswer,459,target,visual,v_de,Nee,Beige,Hoeveelheid,0.950069,3.548,3.265,0.420833334,4.6,0.541666667,1.76,1,5,1.93,0.3,2.5,11,2.13,0,0
2,Quick,N,F,Y,1,visual2visual,1,149,rightanswer,532,context,visual,v_de,Nee,Vuile,Prins,0.938472,2.929,3.7,0.224053296,NA,0.274193548,3.25,10,5,NA,0.173913044,2.78,5,3.015,2,2,48,wronganswer,365,target,visual,v_de,Ja,Rotsige,Beurs,0.981565,2.6,3.07,0.3046875,NA,0.359375,0.78,1,7,NA,0.25,2.61,5,1.695,1,4.418840608
3,Quick,N,F,Y,1,auditory2visual,1,214,rightanswer,712,context,auditory,a_het,Ja,Schel,Geluid,0.618908,3.619,3.27,0.520108696,NA,0.475,1,10,5,NA,0.565217391,3.14,6,2.07,4,2,105,rightanswer,593,target,visual,v_de,Nee,Lage,Magie,0.96932,3.386,2.335,0.558045977,NA,0.633333333,2.61,0,4,NA,0.482758621,2.75,5,2.68,1,9.106977859
4,Quick,N,F,Y,1,visual2visual,1,173,wronganswer,1415,context,visual,v_het,Nee,Licht,Fortuin,0.945551,3.173,3.265,0.38125,NA,0.5125,3.43,10,5,NA,0.25,2.69,7,3.06,0,2,54,rightanswer,1269,target,visual,v_de,Nee,Fonkelende,Verhulling,NA,3.367,3.87,0.339673913,NA,0.375,1.3,1,10,NA,0.304347826,0.78,10,1.04,1,8.096512918
5,Quick,Y,F,Y,1,visual2visual,1,162,rightanswer,1268,context,visual,v_het,Nee,Rot,Mandaat,1.07219,2.396,2.965,0.294117647,NA,0.470588235,3.33,24,3,NA,0.117647059,1.49,7,2.41,0,2,48,wronganswer,1230,target,visual,v_de,Ja,Rotsige,Beurs,0.981565,2.6,3.07,0.3046875,NA,0.359375,0.78,1,7,NA,0.25,2.61,5,1.695,1,0
6,,N,F,Y,1,auditory2visual,1,197,rightanswer,746,context,auditory,a_het,Nee,Lachend,Wantrouwen,0.921945,3.829,2.9,0.34375,NA,0.5,2.03,16,7,NA,0.1875,1.98,10,2.005,1,2,89,rightanswer,645,target,visual,v_de,Nee,Vlezige,Huur,0.947536,3.086,2.965,0.342320262,NA,0.361111111,1.04,0,7,NA,0.323529412,2.95,4,1.995,9,0
8,,N,F,Y,1,visual2visual,1,177,wronganswer,686,context,visual,v_de,Ja,Bolvormige,Formatie,0.83644,3.413,2.9,0.432432432,NA,0.486486486,0.48,0,10,NA,0.378378378,2.04,8,1.26,0,2,69,wronganswer,648,target,visual,v_de,Ja,Lichtbruine,Verhulling,NA,3.967,3.6,0.502173913,NA,0.7,0.9,0,11,NA,0.304347826,0.78,10,0.84,1,0
9,,N,F,Y,1,visual2visual,1,178,rightanswer,1011,context,visual,v_het,Ja,Donker,Moment,0.684565,2.952,2.665,0.439024391,NA,0.634146342,3.28,1,6,NA,0.243902439,3.7,6,3.49,0,2,70,wronganswer,3189,target,visual,v_het,Nee,Onbeweeglijk,Gebaar,0.872001,3.722,3.03,0.51532567,NA,0.444444444,1.23,0,12,NA,0.586206896,2.48,6,1.855,4,0
10,,N,F,Y,1,haptic2visual,1,119,rightanswer,703,context,haptic,h_het,Ja,Ruw,Contact,0.850669,3.357,3.135,0.228896104,NA,0.321428571,2.49,11,3,NA,0.136363636,3.37,7,2.93,2,2,11,wronganswer,525,target,visual,v_de,Ja,Droge,Weerstand,1.0069,3.671,3.065,0.309200604,NA,0.461538462,2.5,4,5,NA,0.156862745,2.36,9,2.43,0,9.699533696
11,Quick,N,F,Y,1,visual2visual,1,157,rightanswer,1157,context,visual,v_het,Ja,Vreemd,Aspect,0.886507,2.438,1.57,0.270186336,NA,0.15942029,3.51,2,6,NA,0.380952381,2.04,6,2.775,0,2,40,rightanswer,903,target,visual,v_de,Ja,Smerige,Boerderij,0.787197,3.691,3.765,0.18005279,NA,0.308823529,2.94,3,7,NA,0.051282051,2.77,9,2.855,0,0
12,Quick,N,M,Y,1,haptic2visual,1,118,rightanswer,758,context,haptic,h_het,Nee,Doorweekt,Welzijn,0.995511,3.59,2.565,0.227756893,NA,0.297619048,1.86,0,9,NA,0.157894737,2.33,7,2.095,0,2,2,wronganswer,706,target,visual,v_de,Ja,Zwoele,Levering,0.973728,2.733,2.865,0.147727273,NA,0.25,1.48,2,6,NA,0.045454546,2.19,8,1.835,1,0
13,Quick,N,F,Y,1,auditory2visual,1,204,rightanswer,506,context,auditory,a_de,Nee,Grommende,Economie,NA,3.771,1.53,0.412207358,NA,0.47826087,0.95,1,9,NA,0.346153846,2.44,8,1.695,0,2,93,wronganswer,703,target,visual,v_de,Ja,Miniatuur,Beurs,0.955464,3.1,3.37,0.367857143,NA,0.485714286,1.38,0,9,NA,0.25,2.61,5,1.995,1,0
14,Selfpaced,N,F,Y,1,auditory2visual,1,199,rightanswer,1335,context,auditory,a_de,Nee,Blaffende,Felicitatie,NA,4.295,2.67,0.374603175,NA,0.471428571,1.34,2,9,NA,0.277777778,1.2,11,1.27,1,2,91,rightanswer,1240,target,visual,v_de,Nee,Vage,Plug,0.958488,3.05,3.1,0.348148148,NA,0.296296296,2.18,14,4,NA,0.4,1.56,4,1.87,3,0
15,Selfpaced,N,F,Y,1,haptic2visual,1,129,rightanswer,735,context,haptic,h_de,Nee,Plakkende,Spier,NA,3.657,4.67,0.263115416,NA,0.238095238,0.48,2,9,NA,0.288135593,2.04,5,1.26,4,2,35,rightanswer,878,target,visual,v_het,Nee,Geblokt,Oosten,1.02688,3.151,3.27,0.528975742,NA,0.41509434,1.11,1,7,NA,0.642857143,2.71,6,1.91,5,0
16,Selfpaced,N,F,Y,1,visual2visual,1,156,wronganswer,765,context,visual,v_de,Ja,Onmetelijke,Levering,1.02835,2.958,2.335,0.260822511,NA,0.476190476,1.26,0,11,NA,0.045454546,2.19,8,1.725,1,2,41,rightanswer,1459,target,visual,v_de,Nee,Ijzige,Beurs,1.0372,2.5,3.07,0.210714286,NA,0.171428571,1.57,2,6,NA,0.25,2.61,5,2.09,1,0
17,Selfpaced,N,F,Y,1,haptic2visual,1,118,rightanswer,568,context,haptic,h_het,Nee,Doorweekt,Welzijn,0.995511,3.59,2.565,0.227756893,NA,0.297619048,1.86,0,9,NA,0.157894737,2.33,7,2.095,0,2,2,rightanswer,601,target,visual,v_de,Ja,Zwoele,Levering,0.973728,2.733,2.865,0.147727273,NA,0.25,1.48,2,6,NA,0.045454546,2.19,8,1.835,1,0
18,Selfpaced,N,F,Y,1,visual2visual,1,158,wronganswer,749,context,visual,v_het,Ja,Klonterig,Type,0.708814,2.794,2.63,0.271794872,NA,0.276923077,0.78,0,9,NA,0.266666667,3.08,4,1.93,5,2,59,rightanswer,2249,target,visual,v_de,Nee,Stompe,Wacht,0.850451,3.214,3.445,0.366666667,NA,0.333333333,0.85,5,6,NA,0.4,3.87,5,2.36,10,0
19,Selfpaced,N,F,Y,1,haptic2visual,1,133,rightanswer,1558,context,haptic,h_het,Nee,Borstelig,Heft,0.898736,3.25,3.155,0.338095238,NA,0.342857143,0.48,0,9,NA,0.333333333,2.03,4,1.255,8,2,7,rightanswer,1419,target,visual,v_het,Ja,Schriel,Loon,0.913305,3.369,2.7,0.277219873,NA,0.395348837,1.04,0,7,NA,0.159090909,2.8,4,1.92,13,0
20,Selfpaced,N,F,Y,1,haptic2visual,1,138,rightanswer,314,context,haptic,h_het,Nee,Glad,Vilt,0.83905,4.375,4.305,0.362650603,NA,0.325301205,2.17,2,6,NA,0.4,1.4,4,1.785,11,2,26,wronganswer,307,target,visual,v_het,Ja,Spits,Type,0.928955,3.321,2.7,0.375980393,NA,0.485294118,1.89,3,5,NA,0.266666667,3.08,4,2.485,5,6.8134446
21,Selfpaced,N,F,Y,1,haptic2visual,1,143,rightanswer,961,context,haptic,h_de,Ja,Tintelende,Spier,NA,3.795,4.67,0.415806927,NA,0.543478261,0.78,1,10,NA,0.288135593,2.04,5,1.41,4,2,29,rightanswer,860,target,visual,v_het,Ja,Tenger,Effect,0.917275,3.671,2.535,0.417843389,NA,0.421052632,1.3,1,6,NA,0.414634146,2.77,6,2.035,0,0
22,Selfpaced,N,M,Y,1,haptic2visual,1,143,rightanswer,485,context,haptic,h_de,Ja,Tintelende,Spier,NA,3.795,4.67,0.415806927,NA,0.543478261,0.78,1,10,NA,0.288135593,2.04,5,1.41,4,2,30,rightanswer,518,target,visual,v_de,Nee,Beige,Hoeveelheid,0.950069,3.548,3.265,0.420833334,NA,0.541666667,1.76,1,5,NA,0.3,2.5,11,2.13,0,0
23,Selfpaced,N,F,Y,1,auditory2visual,1,196,wronganswer,1982,context,auditory,a_het,Nee,Schor,Enthousiasme,0.859341,4.578,2.83,0.337784091,NA,0.59375,1.11,7,5,NA,0.081818182,2.25,12,1.68,1,2,94,wronganswer,1134,target,visual,v_het,Ja,Modderig,Sterven,0.856102,3.6,3.47,0.372710623,NA,0.435897436,1.42,1,8,NA,0.30952381,3.53,7,2.475,5,0
24,Selfpaced,Y,M,Y,1,haptic2visual,1,123,rightanswer,599,context,haptic,h_het,Ja,Heet,Pistool,0.773426,3.46,2.8,0.246153846,NA,0.4,3.74,18,4,NA,0.092307692,3.23,7,3.485,0,2,2,wronganswer,562,target,visual,v_de,Ja,Zwoele,Levering,0.973728,2.733,2.865,0.147727273,NA,0.25,1.48,2,6,NA,0.045454546,2.19,8,1.835,1,9.221082469
26,Quick,N,F,Y,1,auditory2visual,1,201,wronganswer,593,context,auditory,a_het,Ja,Luidruchtig,Noodgeval,0.814128,4.014,2.53,0.385799404,NA,0.526315789,2.05,1,11,NA,0.245283019,2.74,9,2.395,0,2,103,wronganswer,666,target,visual,v_het,Ja,Luchtig,Oosten,1.00194,2.762,2.87,0.510317461,NA,0.377777778,1.73,1,7,NA,0.642857143,2.71,6,2.22,5,0
27,Quick,Y,F,Y,1,auditory2visual,1,187,rightanswer,385,context,auditory,a_het,Nee,Knarsend,Gerucht,NA,4.536,2,0.267857143,NA,0.25,0.7,1,9,NA,0.285714286,2.61,7,1.655,4,2,96,rightanswer,653,target,visual,v_de,Ja,Verouderde,Pels,1.08048,3.188,3.7,0.406759907,NA,0.454545455,1.18,0,10,NA,0.358974359,1.26,4,1.22,9,0
28,Quick,N,F,Y,1,haptic2visual,1,125,wronganswer,980,context,haptic,h_het,Nee,Pulserend,Heft,NA,2.393,2.71,0.256410256,NA,0.179487179,0.48,0,9,NA,0.333333333,2.03,4,1.255,8,2,12,wronganswer,560,target,visual,v_de,Ja,Gesmolten,Weerstand,0.945311,3.671,2.33,0.31372549,NA,0.470588235,2.18,0,9,NA,0.156862745,2.36,9,2.27,0,0
29,Quick,N,F,Y,1,auditory2visual,1,183,wronganswer,820,context,auditory,a_de,Ja,Ritmische,Neiging,0.86689,2.522,2.535,0.19375,NA,0.2,1,0,9,NA,0.1875,2.16,7,1.58,0,2,95,wronganswer,922,target,visual,v_het,Ja,Rauw,Sterven,0.814663,3.1,3.535,0.385531136,NA,0.461538462,2.24,11,4,NA,0.30952381,3.53,7,2.885,5,3.828641396
30,Quick,N,M,Y,1,auditory2visual,1,199,rightanswer,569,context,auditory,a_de,Nee,Blaffende,Felicitatie,NA,4.295,2.67,0.374603175,NA,0.471428571,1.34,2,9,NA,0.277777778,1.2,11,1.27,1,2,86,rightanswer,529,target,visual,v_de,Nee,Glimmende,Ziekte,1.03236,3.7,3.5,0.33418223,NA,0.580645161,1.94,2,9,NA,0.087719298,2.98,6,2.46,3,0
31,Quick,Y,F,Y,1,auditory2visual,1,211,rightanswer,569,context,auditory,a_de,Nee,Melodieuze,Kennis,0.959205,3.811,2,0.494623656,NA,0.666666667,0.85,0,10,NA,0.322580645,3.22,6,2.035,1,2,93,wronganswer,536,target,visual,v_de,Ja,Miniatuur,Beurs,0.955464,3.1,3.37,0.367857143,NA,0.485714286,1.38,0,9,NA,0.25,2.61,5,1.995,1,0
32,Quick,N,F,N,1,visual2visual,1,172,rightanswer,916,context,visual,v_de,Nee,Langgerekte,Verbeelding,0.862372,3.821,2.3,0.37340302,NA,0.380952381,0.48,2,11,NA,0.365853659,2.49,11,1.485,0,2,61,rightanswer,656,target,visual,v_de,Nee,Gevouwen,Situatie,NA,3.571,2.27,0.383951407,NA,0.485294118,1.51,1,8,NA,0.282608696,3.33,8,2.42,1,4.477336814
34,Selfpaced,Y,M,Y,1,haptic2visual,1,122,rightanswer,1268,context,haptic,h_het,Ja,Broos,Bot,0.873392,3.482,3.87,0.243220339,NA,0.3,1.26,6,5,NA,0.186440678,2.71,3,1.985,29,2,24,rightanswer,827,target,visual,v_het,Nee,Onrijp,Dek,1.0097,3.063,3.73,0.367860188,NA,0.431372549,0.85,0,6,NA,0.304347826,2.8,3,1.825,22,4.718498871
35,Selfpaced,N,M,Y,1,auditory2visual,1,194,rightanswer,891,context,auditory,a_het,Nee,Gillend,Feit,NA,3.389,1.67,0.313265306,NA,0.326530612,1.87,2,7,NA,0.3,3.15,4,2.51,3,2,90,wronganswer,1612,target,visual,v_de,Nee,Lenige,Belasting,0.991066,3.5,2.735,0.347826087,NA,0.5,0.85,3,6,NA,0.195652174,2.56,9,1.705,0,0
36,Selfpaced,N,F,Y,1,haptic2visual,1,123,wronganswer,444,context,haptic,h_het,Ja,Heet,Pistool,0.773426,3.46,2.8,0.246153846,NA,0.4,3.74,18,4,NA,0.092307692,3.23,7,3.485,0,2,20,wronganswer,191,target,visual,v_de,Ja,Verkoolde,Plug,0.91221,2.85,4.13,0.362790698,NA,0.325581395,1.32,1,9,NA,0.4,1.56,4,1.44,3,0
37,Selfpaced,N,F,Y,1,haptic2visual,1,132,wronganswer,924,context,haptic,h_de,Nee,Stekelige,Deken,0.795281,3.786,4.465,0.284749035,NA,0.285714286,0.9,0,9,NA,0.283783784,2.6,5,1.75,18,2,36,wronganswer,1327,target,visual,v_de,Ja,Gouden,Gelegenheid,0.897149,3.529,2.87,0.53125,NA,0.5625,2.95,7,6,NA,0.5,2.75,11,2.85,1,0
38,Selfpaced,Y,F,Y,1,auditory2visual,1,214,rightanswer,865,context,auditory,a_het,Ja,Schel,Geluid,0.618908,3.619,3.27,0.520108696,NA,0.475,1,10,5,NA,0.565217391,3.14,6,2.07,4,2,100,wronganswer,1230,target,visual,v_de,Ja,Wazige,Verhulling,NA,3.367,3.47,0.47826087,NA,0.652173913,1.51,2,6,NA,0.304347826,0.78,10,1.145,1,5.572154032
39,Selfpaced,N,M,Y,1,auditory2visual,1,201,wronganswer,2986,context,auditory,a_het,Ja,Luidruchtig,Noodgeval,0.814128,4.014,2.53,0.385799404,NA,0.526315789,2.05,1,11,NA,0.245283019,2.74,9,2.395,0,2,76,wronganswer,924,target,visual,v_de,Ja,Krullende,Vrijheid,NA,3.365,1.47,0.213981115,NA,0.223880597,0.85,1,9,NA,0.204081633,3.11,8,1.98,0,4.615120517
40,Quick,N,F,Y,1,auditory2visual,1,205,wronganswer,464,context,auditory,a_het,Ja,Gedempt,Verleden,0.931374,3.378,1.8,0.413359789,NA,0.678571429,1.18,1,7,NA,0.148148148,3.3,8,2.24,7,2,98,rightanswer,216,target,visual,v_het,Nee,Behaard,Beheer,1.04916,2.825,3.2,0.420930233,NA,0.441860465,1.45,6,7,NA,0.4,1.95,6,1.7,5,0
41,Quick,N,F,N,1,haptic2visual,1,131,rightanswer,1026,context,haptic,h_de,Nee,Taaie,Vloeistof,0.864188,3.875,3.835,0.283606151,NA,0.301587302,2.19,10,5,NA,0.265625,2.21,9,2.2,0,2,23,rightanswer,650,target,visual,v_de,Nee,Blauwe,Boerderij,0.983035,3.579,4.365,0.36710444,NA,0.682926829,3.14,4,6,NA,0.051282051,2.77,9,2.955,0,7.955074273
42,Selfpaced,N,F,Y,1,haptic2visual,1,144,rightanswer,1144,context,haptic,h_het,Nee,Koud,Vilt,0.738496,4.1,4.135,0.436111111,NA,0.472222222,2.84,8,5,NA,0.4,1.4,4,2.12,11,2,3,rightanswer,484,target,visual,v_de,Nee,Barstende,Veiligheid,NA,2.889,1.93,0.212937063,NA,0.107692308,1.57,2,9,NA,0.318181818,3.13,10,2.35,3,5.192956851
44,Quick,N,F,Y,1,auditory2visual,1,200,wronganswer,655,context,auditory,a_het,Ja,Stil,Voornemen,0.876852,3.686,2.465,0.37515763,NA,0.442622951,3.58,8,4,NA,0.307692308,1.61,9,2.595,3,2,102,rightanswer,483,target,visual,v_de,Nee,Groene,Mist,0.770451,4.057,4.365,0.503088538,NA,0.580645161,2.94,7,6,NA,0.425531915,3.16,4,3.05,15,9.493637846
45,Quick,N,F,Y,1,haptic2visual,1,109,rightanswer,1084,context,haptic,h_het,Ja,Gebroken,Bot,0.552381,3.135,4,0.150597388,NA,0.114754098,3.31,3,8,NA,0.186440678,2.71,3,3.01,29,2,36,wronganswer,963,target,visual,v_de,Ja,Gouden,Gelegenheid,0.897149,3.529,2.87,0.53125,NA,0.5625,2.95,7,6,NA,0.5,2.75,11,2.85,1,6.91671502
46,Selfpaced,N,F,Y,1,auditory2visual,1,190,rightanswer,924,context,auditory,a_de,Nee,Gierende,Seconde,NA,3.411,2.87,0.306603774,NA,0.5,1.08,2,8,NA,0.113207547,2.85,7,1.965,1,2,102,rightanswer,1384,target,visual,v_de,Nee,Groene,Mist,0.770451,4.057,4.365,0.503088538,NA,0.580645161,2.94,7,6,NA,0.425531915,3.16,4,3.05,15,6.59441346
47,Selfpaced,N,F,Y,1,haptic2visual,1,113,rightanswer,906,context,haptic,h_het,Nee,Kietelend,Pistool,NA,4.089,4.87,0.2,NA,0.307692308,0.6,1,9,NA,0.092307692,3.23,7,1.915,0,2,28,rightanswer,948,target,visual,v_de,Nee,Groeiende,Wacht,NA,3.527,3.2,0.415384616,NA,0.430769231,1.91,3,9,NA,0.4,3.87,5,2.89,10,0
48,Selfpaced,N,F,Y,1,visual2visual,1,168,rightanswer,721,context,visual,v_de,Nee,Gevorkte,Race,0.945167,4.048,4.47,0.353144655,NA,0.366666667,0.6,0,8,NA,0.339622642,2.5,4,1.55,9,2,67,rightanswer,931,target,visual,v_de,Nee,Bronzen,Boete,0.985813,2.96,3.3,0.480107527,NA,0.766666667,1.61,2,7,NA,0.193548387,2.47,5,2.04,8,0
49,Quick,N,M,Y,1,visual2visual,1,155,wronganswer,433,context,visual,v_de,Ja,Mottige,Verhulling,NA,2.867,2.07,0.255639098,NA,0.142857143,0.6,1,7,NA,0.368421053,0.78,10,0.69,1,2,60,rightanswer,387,target,visual,v_het,Ja,Nauw,Effect,1.04643,3.371,2.4,0.37398374,NA,0.333333333,2.36,8,4,NA,0.414634146,2.77,6,2.565,0,0
50,Quick,N,M,Y,1,visual2visual,1,162,rightanswer,639,context,visual,v_het,Nee,Rot,Mandaat,1.07219,2.396,2.965,0.294117647,NA,0.470588235,3.33,24,3,NA,0.117647059,1.49,7,2.41,0,2,42,wronganswer,593,target,visual,v_het,Ja,Smakeloos,Moment,0.925003,1.986,1.9,0.22195122,NA,0.2,1.75,0,9,NA,0.243902439,3.7,6,2.725,0,0
1,Quick,N,F,Y,2,visual2visual,3,157,rightanswer,488,context,visual,v_het,Ja,Vreemd,Aspect,0.886507,2.438,1.57,0.270186336,1.67,0.15942029,3.51,2,6,1.47,0.380952381,2.04,6,2.775,0,4,38,rightanswer,428,target,visual,v_de,Nee,Elastische,Boerderij,1.00684,3.982,3.8,0.15275967,3.4,0.254237288,1.04,1,10,4.2,0.051282051,2.77,9,1.905,0,4.356708827
2,Quick,N,F,Y,2,haptic2visual,3,128,rightanswer,474,context,haptic,h_het,Nee,Hitsig,Vilt,0.809776,3.75,3.47,0.2625,NA,0.125,1.46,1,7,NA,0.4,1.4,4,1.43,11,4,1,rightanswer,429,target,visual,v_het,Nee,Kokend,Mandaat,0.901574,2.306,1.93,0.131191951,NA,0.144736842,1.77,4,6,NA,0.117647059,1.49,7,1.63,0,0
3,Quick,N,F,Y,2,haptic2visual,3,121,wronganswer,888,context,haptic,h_het,Ja,Mals,Contact,1.20917,3.982,3.1,0.242094862,NA,0.347826087,1.64,13,4,NA,0.136363636,3.37,7,2.505,2,4,14,wronganswer,932,target,visual,v_de,Nee,Diepe,Plug,0.914433,3.5,3.6,0.326666667,NA,0.253333333,2.69,10,5,NA,0.4,1.56,4,2.125,3,7.286191715
4,Quick,N,F,Y,2,visual2visual,3,152,rightanswer,946,context,visual,v_de,Ja,Zanderige,Race,0.956875,3.014,4.17,0.235987792,NA,0.132352941,0.7,0,9,NA,0.339622642,2.5,4,1.6,9,4,51,wronganswer,1090,target,visual,v_de,Nee,Aardse,Magie,0.839526,2.286,1.97,0.312807882,NA,0.142857143,2.18,6,6,NA,0.482758621,2.75,5,2.465,1,0
5,Quick,Y,F,Y,2,haptic2visual,3,128,rightanswer,1865,context,haptic,h_het,Nee,Hitsig,Vilt,0.809776,3.75,3.47,0.2625,NA,0.125,1.46,1,7,NA,0.4,1.4,4,1.43,11,4,4,rightanswer,1324,target,visual,v_de,Ja,Beschimmelde,Levering,0.87933,3.333,3.335,0.272727273,NA,0.5,1.2,0,12,NA,0.045454546,2.19,8,1.695,1,0
6,,N,F,Y,2,auditory2visual,3,206,rightanswer,957,context,auditory,a_het,Nee,Kreunend,Gelach,NA,4.882,4,0.416666667,NA,0.5,0.78,1,8,NA,0.333333333,1.95,6,1.365,0,4,98,rightanswer,466,target,visual,v_het,Nee,Behaard,Beheer,1.04916,2.825,3.2,0.420930233,NA,0.441860465,1.45,6,7,NA,0.4,1.95,6,1.7,5,4.007333185
8,,N,F,Y,2,haptic2visual,3,144,rightanswer,372,context,haptic,h_het,Nee,Koud,Vilt,0.738496,4.1,4.135,0.436111111,NA,0.472222222,2.84,8,5,NA,0.4,1.4,4,2.12,11,4,36,rightanswer,859,target,visual,v_de,Ja,Gouden,Gelegenheid,0.897149,3.529,2.87,0.53125,NA,0.5625,2.95,7,6,NA,0.5,2.75,11,2.85,1,7.097548851
9,,N,F,Y,2,haptic2visual,3,121,wronganswer,950,context,haptic,h_het,Ja,Mals,Contact,1.20917,3.982,3.1,0.242094862,NA,0.347826087,1.64,13,4,NA,0.136363636,3.37,7,2.505,2,4,13,wronganswer,1944,target,visual,v_de,Ja,Absorberende,Verbeelding,NA,2.683,1.6,0.317073171,NA,0.268292683,0.9,1,12,NA,0.365853659,2.49,11,1.695,0,0
10,,N,F,Y,2,visual2visual,3,156,wronganswer,569,context,visual,v_de,Ja,Onmetelijke,Levering,1.02835,2.958,2.335,0.260822511,NA,0.476190476,1.26,0,11,NA,0.045454546,2.19,8,1.725,1,4,48,wronganswer,353,target,visual,v_de,Ja,Rotsige,Beurs,0.981565,2.6,3.07,0.3046875,NA,0.359375,0.78,1,7,NA,0.25,2.61,5,1.695,1,0
11,Quick,N,F,Y,2,auditory2visual,3,212,wronganswer,832,context,auditory,a_het,Ja,Zoemend,Advies,NA,4.59,1.87,0.506112145,NA,0.603773585,0.85,0,7,NA,0.408450704,3.04,6,1.945,0,4,84,rightanswer,685,target,visual,v_de,Ja,Vieze,Uitvinding,0.873652,3.671,2.6,0.31219865,NA,0.558823529,2.89,10,5,NA,0.065573771,2.18,10,2.535,0,0
12,Quick,N,M,Y,2,haptic2visual,3,120,wronganswer,664,context,haptic,h_het,Ja,Hard,Heft,0.890188,2.938,3.055,0.238095238,NA,0.142857143,3.6,12,4,NA,0.333333333,2.03,4,2.815,8,4,28,rightanswer,851,target,visual,v_de,Nee,Groeiende,Wacht,NA,3.527,3.2,0.415384616,NA,0.430769231,1.91,3,9,NA,0.4,3.87,5,2.89,10,8.791790024
13,Quick,N,F,Y,2,haptic2visual,3,115,rightanswer,550,context,haptic,h_de,Nee,Jeukende,Schok,NA,2.857,3.33,0.205882353,NA,0.333333333,0.95,1,8,NA,0.078431372,2.62,5,1.785,6,4,27,rightanswer,609,target,visual,v_de,Nee,Gebogen,Gelegenheid,0.96045,3.151,2.835,0.383802817,NA,0.267605634,2.04,8,7,NA,0.5,2.75,11,2.395,1,0
14,Selfpaced,N,F,Y,2,haptic2visual,3,123,rightanswer,617,context,haptic,h_het,Ja,Heet,Pistool,0.773426,3.46,2.8,0.246153846,NA,0.4,3.74,18,4,NA,0.092307692,3.23,7,3.485,0,4,30,wronganswer,1477,target,visual,v_de,Nee,Beige,Hoeveelheid,0.950069,3.548,3.265,0.420833334,NA,0.541666667,1.76,1,5,NA,0.3,2.5,11,2.13,0,6.646390515
15,Selfpaced,N,F,Y,2,auditory2visual,3,196,wronganswer,777,context,auditory,a_het,Nee,Schor,Enthousiasme,0.859341,4.578,2.83,0.337784091,NA,0.59375,1.11,7,5,NA,0.081818182,2.25,12,1.68,1,4,102,wronganswer,647,target,visual,v_de,Nee,Groene,Mist,0.770451,4.057,4.365,0.503088538,NA,0.580645161,2.94,7,6,NA,0.425531915,3.16,4,3.05,15,4.343805422
16,Selfpaced,N,F,Y,2,visual2visual,3,151,wronganswer,1157,context,visual,v_het,Ja,Rommelend,Moment,NA,2.723,1.33,0.231042129,NA,0.218181818,0.6,12,9,NA,0.243902439,3.7,6,2.15,0,4,68,wronganswer,1437,target,visual,v_de,Nee,Paarse,Vrijheid,1.01049,3.955,2.8,0.497389654,NA,0.790697674,2.15,10,6,NA,0.204081633,3.11,8,2.63,0,0
17,Selfpaced,N,F,Y,2,visual2visual,3,180,wronganswer,710,context,visual,v_de,Nee,Doorschijnende,Verhulling,NA,3.792,3.5,0.501011123,NA,0.697674419,0.48,0,14,NA,0.304347826,0.78,10,0.63,1,4,49,rightanswer,473,target,visual,v_het,Nee,Mistig,Loon,0.934111,3.286,3.47,0.308116883,NA,0.457142857,1.7,2,6,NA,0.159090909,2.8,4,2.25,13,3.737669618
18,Selfpaced,N,F,Y,2,visual2visual,3,172,wronganswer,668,context,visual,v_de,Nee,Langgerekte,Verbeelding,0.862372,3.821,2.3,0.37340302,NA,0.380952381,0.48,2,11,NA,0.365853659,2.49,11,1.485,0,4,64,rightanswer,852,target,visual,v_de,Nee,Rechthoekige,Sierlijkheid,0.610794,3.884,4,0.417568543,NA,0.53968254,1,0,12,NA,0.295454545,0.6,12,0.8,0,7.832014181
