participant,group,Lefthanded,Gender,A_V_OK,Event,condition,CONTEXT_Trial,CONTEXT_Item,CONTEXT_Accuracy,CONTEXT_RT,CONTEXT_Position,CONTEXT_cat,CONTEXT_catspec,CONTEXT_solution,CONTEXT_property,CONTEXT_concept,CONTEXT_LSA_distance,CONTEXT_mean_perceptualstrength,CONTEXT_mean_concreteness,CONTEXT_mean_exc,CONTEXT_prop_concreteness,CONTEXT_prop_exc,CONTEXT_prop_lg10CD,CONTEXT_prop_orthneigh,CONTEXT_prop_letters,CONTEXT_conc_concreteness,CONTEXT_conc_exc,CONTEXT_conc_lg10CD,CONTEXT_conc_letters,CONTEXT_mean_lg10CD,CONTEXT_conc_orthneigh,TARGET_Trial,TARGET_Item,TARGET_Accuracy,TARGET_RT,TARGET_Position,TARGET_cat,TARGET_catspec,TARGET_solution,TARGET_property,TARGET_concept,TARGET_LSA_distance,TARGET_mean_perceptualstrength,TARGET_mean_concreteness,TARGET_mean_exc,TARGET_prop_concreteness,TARGET_prop_exc,TARGET_prop_lg10CD,TARGET_prop_orthneigh,TARGET_prop_letters,TARGET_conc_concreteness,TARGET_conc_exc,TARGET_conc_lg10CD,TARGET_conc_letters,TARGET_mean_lg10CD,TARGET_conc_orthneigh,log_cooccurrence_propertytoproperty
48,Selfpaced,N,F,Y,11,auditory2visual,21,203,rightanswer,455,context,auditory,a_het,Ja,Luid,Welkom,0.868225,3.971,2.765,0.405092593,NA,0.625,2.54,11,4,NA,0.185185185,3.57,6,3.055,2,22,96,wronganswer,586,target,visual,v_de,Ja,Verouderde,Pels,1.08048,3.188,3.7,0.406759907,NA,0.454545455,1.18,0,10,NA,0.358974359,1.26,4,1.22,9,0
49,Quick,N,M,Y,11,haptic2visual,21,117,rightanswer,456,context,haptic,h_de,Ja,Slijmerige,Vloeistof,0.650393,4,3.735,0.222513743,NA,0.289855072,1.75,1,10,NA,0.155172414,2.21,9,1.98,0,22,9,rightanswer,681,target,visual,v_de,Ja,Saaie,President,0.934654,2.516,2.53,0.292832168,NA,0.153846154,2.57,7,5,NA,0.431818182,3.07,9,2.82,0,0
50,Quick,N,M,Y,11,visual2visual,21,178,rightanswer,496,context,visual,v_het,Ja,Donker,Moment,0.684565,2.952,2.665,0.439024391,NA,0.634146342,3.28,1,6,NA,0.243902439,3.7,6,3.49,0,22,48,wronganswer,716,target,visual,v_de,Ja,Rotsige,Beurs,0.981565,2.6,3.07,0.3046875,NA,0.359375,0.78,1,7,NA,0.25,2.61,5,1.695,1,7.366445148
1,Quick,N,F,Y,12,auditory2visual,23,209,rightanswer,497,context,auditory,a_het,Nee,Oorverdovend,Plan,0.973202,3.444,2.965,0.46474359,3,0.673076923,1.34,0,12,2.93,0.256410256,3.47,4,2.405,7,24,93,wronganswer,597,target,visual,v_de,Ja,Miniatuur,Beurs,0.955464,3.1,3.37,0.367857143,3.67,0.485714286,1.38,0,9,3.07,0.25,2.61,5,1.995,1,0
2,Quick,N,F,Y,12,haptic2visual,23,130,wronganswer,635,context,haptic,h_de,Ja,Geneeskrachtige,Rots,0.920404,2.557,4.73,0.263673891,NA,0.176470588,1,0,15,NA,0.350877193,2.62,4,1.81,8,24,8,wronganswer,1331,target,visual,v_de,Ja,Plantaardige,Aantekening,0.819882,3.143,3.165,0.288194445,NA,0.354166667,1.26,0,12,NA,0.222222222,1.76,11,1.51,0,5.323009979
3,Quick,N,F,Y,12,visual2visual,23,160,rightanswer,1098,context,visual,v_de,Ja,Zwarte,Kip,0.88176,3.73,4.57,0.284567727,NA,0.509433962,3.33,4,6,NA,0.059701492,2.96,3,3.145,18,24,68,rightanswer,910,target,visual,v_de,Nee,Paarse,Vrijheid,1.01049,3.955,2.8,0.497389654,NA,0.790697674,2.15,10,6,NA,0.204081633,3.11,8,2.63,0,12.31446506
4,Quick,N,F,Y,12,visual2visual,23,162,rightanswer,465,context,visual,v_het,Nee,Rot,Mandaat,1.07219,2.396,2.965,0.294117647,NA,0.470588235,3.33,24,3,NA,0.117647059,1.49,7,2.41,0,24,37,wronganswer,423,target,visual,v_het,Ja,Brak,Bezit,0.901718,3.314,2.71,0.149180328,NA,0.2,2.9,7,4,NA,0.098360656,3.16,5,3.03,4,0
5,Quick,Y,F,Y,12,auditory2visual,23,210,wronganswer,1708,context,auditory,a_het,Ja,Geluidloos,Antwoord,0.810143,4,2.835,0.470746108,NA,0.52173913,1.11,0,10,NA,0.419753086,3.53,8,2.32,1,24,108,rightanswer,1584,target,visual,v_de,Ja,Blonde,Pupil,0.910093,4.05,4.1,0.620110447,NA,0.679245283,2.55,4,6,NA,0.56097561,1.66,5,2.105,0,0
6,,N,F,Y,12,auditory2visual,23,183,wronganswer,500,context,auditory,a_de,Ja,Ritmische,Neiging,0.86689,2.522,2.535,0.19375,NA,0.2,1,0,9,NA,0.1875,2.16,7,1.58,0,24,75,rightanswer,713,target,visual,v_de,Nee,Ongelijke,Uitvinding,0.878655,3.571,1.865,0.157786886,NA,0.25,1.23,0,9,NA,0.065573771,2.18,10,1.705,0,0
8,,N,F,Y,12,auditory2visual,23,216,rightanswer,423,context,auditory,a_het,Nee,Lauw,Volume,0.871071,2.563,3.265,0.57184529,NA,0.662921348,1.54,10,4,NA,0.480769231,1.99,6,1.765,0,24,108,wronganswer,724,target,visual,v_de,Ja,Blonde,Pupil,0.910093,4.05,4.1,0.620110447,NA,0.679245283,2.55,4,6,NA,0.56097561,1.66,5,2.105,0,0
