"State.of.IVs","Time.window","Group","Brain.area","IV","Estimate","Sum.of.Squares","Modality.Corpus.SS.difference","SE","t.value","p.value","Fit.Omega.Squared"
"not scaled","Window 1","Quick group","anterior","Modality",1.11433903915175,101.182851727767,3.82962863369374,0.731515712496236,1.52332891845776,0.129421682910044,5.10731017870803
"not scaled","Window 1","Quick group","anterior","Corpus",0.218185111176004,97.353223094073,3.82962863369374,0.145399273558579,1.50059285604409,0.135203263200232,5.10731017870803
"not scaled","Window 1","Quick group","posterior","Modality",0.426456310754573,14.8190824784418,-71.0643963111303,0.513905877558849,0.829833495542651,0.407726058683132,2.08624741524209
"not scaled","Window 1","Quick group","posterior","Corpus",0.204413104428023,85.883478789572,-71.0643963111303,0.102146187700548,2.00118192396255,0.0468668726185527,2.08624741524209
"not scaled","Window 1","Slow group","anterior","Modality",0.820550030862716,56.6154078834512,20.7741523668087,0.641977430010572,1.27816024754827,0.202829604341512,-4.74508397644935
"not scaled","Window 1","Slow group","anterior","Corpus",-0.172926345441987,35.8412555166424,20.7741523668087,0.141799417317367,-1.21951379429828,0.224236002392896,-4.74508397644935
"not scaled","Window 1","Slow group","posterior","Modality",-0.166241246778608,2.32381784777739,-5.16443259893881,0.572794782976056,-0.290228283705505,0.771973838887406,2.83153801505756
"not scaled","Window 1","Slow group","posterior","Corpus",-0.0587105826920105,7.4882504467162,-5.16443259893881,0.126518414311068,-0.464047727848216,0.643171173290308,2.83153801505756
"not scaled","Window 2","Quick group","anterior","Modality",0.180213140671744,4.73892738129809,-15.612833620282,0.565370952454894,0.318752033314131,0.750158288403709,2.24785124199876
"not scaled","Window 2","Quick group","anterior","Corpus",0.0801712930574093,20.3517610015801,-15.612833620282,0.118903414691023,0.674255598678466,0.500719356911805,2.24785124199876
"not scaled","Window 2","Quick group","posterior","Modality",0.590774051105926,52.5873091107054,47.023936132684,0.357979461536721,1.65030152447817,0.0999906334874818,12.981016809983
"not scaled","Window 2","Quick group","posterior","Corpus",0.0455106144421287,5.5633729780214,47.023936132684,0.0755519601679678,0.602375032242038,0.547406866988874,12.981016809983
"not scaled","Window 2","Slow group","anterior","Modality",-0.20756702594421,5.97991294141655,4.86162730838269,0.658759831630785,-0.315087556917929,0.75293587964413,-9.93949158350292
"not scaled","Window 2","Slow group","anterior","Corpus",0.0208830626999795,1.11828563303386,4.86162730838269,0.13397493582594,0.155872906907832,0.876248396660532,-9.93949158350292
"not scaled","Window 2","Slow group","posterior","Modality",-0.564281512264487,45.4222898399787,45.2712668589864,0.563041334590855,-1.00220264054776,0.317101875675394,-43.7002794303561
"not scaled","Window 2","Slow group","posterior","Corpus",0.0129125378514745,0.151022980992365,45.2712668589864,0.112215401403811,0.115069212335732,0.908471863831187,-43.7002794303561
"not scaled","Window 3","Quick group","anterior","Modality",0.370521449815335,33.4134367186621,20.8573906991111,0.445640095760852,0.831436518706277,0.406104344389329,8.66306956903552
"not scaled","Window 3","Quick group","anterior","Corpus",0.0427702267496146,12.556046019551,20.8573906991111,0.0890802322384568,0.480131513747337,0.631333481640177,8.66306956903552
"not scaled","Window 3","Quick group","posterior","Modality",0.431980804267852,45.4175115135193,40.9478109108665,0.262338472136038,1.64665441843331,0.100226377727916,-14.3478210838694
"not scaled","Window 3","Quick group","posterior","Corpus",-0.0301077635233066,4.46970060265275,40.9478109108665,0.0524395633275803,-0.574142147889923,0.566117045228232,-14.3478210838694
"not scaled","Window 3","Slow group","anterior","Modality",0.267056970759099,17.3694414220808,-96.7371926581252,0.541619182304092,0.493071478050348,0.622167860301102,1.93679748846279
"not scaled","Window 3","Slow group","anterior","Corpus",0.137885851437705,114.106634080206,-96.7371926581252,0.108085194913084,1.27571450973082,0.202619533187471,1.93679748846279
"not scaled","Window 3","Slow group","posterior","Modality",0.180875606096425,7.96779247622877,1.70340807463546,0.369311708378102,0.489764071902221,0.624505051230035,-5.8172558873104
"not scaled","Window 3","Slow group","posterior","Corpus",-0.0310929430646126,6.26438440159331,1.70340807463546,0.0736996201167032,-0.421887426493881,0.673279558313457,-5.8172558873104
"not scaled","Window 4","Quick group","anterior","Modality",-0.526479329457783,84.473373674656,67.1013999146307,0.456126786495905,-1.15423900775998,0.248848342532313,10.5096231313196
"not scaled","Window 4","Quick group","anterior","Corpus",-0.0500949770395502,17.3719737600253,67.1013999146307,0.096030081246686,-0.521659217499401,0.602094523380103,10.5096231313196
"not scaled","Window 4","Quick group","posterior","Modality",-0.142605067751264,6.1976508828404,5.62491588978152,0.238983512295305,-0.596715088759139,0.550916142016891,-15.5463105486525
"not scaled","Window 4","Quick group","posterior","Corpus",0.00917292030832514,0.572734993058876,5.62491588978152,0.0503140941987685,0.182313136197723,0.855396776632867,-15.5463105486525
"not scaled","Window 4","Slow group","anterior","Modality",0.947977191986897,262.508532013745,211.89315803732,0.464326295188085,2.04161858118093,0.041613507660162,-11.7006677608695
"not scaled","Window 4","Slow group","anterior","Corpus",-0.081019067574691,50.6153739764252,211.89315803732,0.0912519322817942,-0.887861391520969,0.374960728090745,-11.7006677608695
"not scaled","Window 4","Slow group","posterior","Modality",-0.0392438815645341,0.449874688676769,-0.392584325797792,0.334234094746639,-0.117414357725182,0.906569855379705,-3.72990842814947
"not scaled","Window 4","Slow group","posterior","Corpus",0.0105214061740396,0.842459014474561,-0.392584325797792,0.0656855045603924,0.160178508857552,0.872792798645494,-3.72990842814947
