"Time bin","Group","Estimate.and.SE","Lower.CI","Upper.CI","t.and.df","p.asterisks"
"Intercept","Intercept","-0.78 (0.47)",-1.71,0.14,"-1.65 (66.81)",""
"1","Quick","0.56 (0.4)",-0.24,1.35,"1.38 (24.97)",""
"2","Quick","0.72 (0.38)",-0.01,1.46,"1.93 (25.51)",""
"3","Quick","2.36 (0.41)",1.56,3.16,"5.75 (24.89)","***"
"4","Quick","1.58 (0.51)",0.58,2.57,"3.11 (23.82)","**"
"5","Quick","-0.31 (0.42)",-1.13,0.5,"-0.75 (24.78)",""
"6","Quick","-0.42 (0.42)",-1.24,0.41,"-1 (24.75)",""
"7","Quick","0.21 (0.38)",-0.53,0.96,"0.56 (25.44)",""
"8","Quick","2.18 (0.41)",1.37,2.99,"5.27 (24.85)","***"
"9","Quick","3.09 (0.4)",2.32,3.87,"7.83 (25.14)","***"
"10","Quick","2.72 (0.41)",1.91,3.54,"6.59 (24.83)","***"
"11","Quick","1.82 (0.44)",0.95,2.68,"4.13 (24.48)","***"
"12","Quick","1.07 (0.44)",0.22,1.93,"2.46 (24.52)","*"
"13","Quick","0.19 (0.42)",-0.63,1.01,"0.46 (24.77)",""
"14","Quick","-0.24 (0.41)",-1.05,0.56,"-0.6 (24.88)",""
"15","Quick","-1.22 (0.39)",-1.98,-0.46,"-3.14 (25.24)","**"
"16","Quick","-1.85 (0.4)",-2.63,-1.07,"-4.65 (25.09)","***"
"17","Quick","-2.16 (0.41)",-2.96,-1.35,"-5.27 (24.9)","***"
"18","Quick","-2.43 (0.43)",-3.26,-1.59,"-5.7 (24.66)","***"
"19","Quick","-2.71 (0.43)",-3.56,-1.86,"-6.25 (24.56)","***"
"20","Quick","-2.58 (0.42)",-3.4,-1.76,"-6.15 (24.75)","***"
"1","Slow","0.36 (0.3)",-0.24,0.95,"1.17 (27.65)",""
"2","Slow","0.51 (0.29)",-0.07,1.09,"1.73 (28.06)",""
"3","Slow","2.28 (0.32)",1.65,2.91,"7.12 (26.99)","***"
"4","Slow","1.67 (0.32)",1.04,2.31,"5.15 (26.84)","***"
"5","Slow","-0.69 (0.31)",-1.29,-0.08,"-2.22 (27.45)","*"
"6","Slow","-0.87 (0.31)",-1.47,-0.27,"-2.85 (27.6)","**"
"7","Slow","-0.01 (0.35)",-0.69,0.68,"-0.02 (26.05)",""
"8","Slow","1.87 (0.34)",1.21,2.53,"5.52 (26.4)","***"
"9","Slow","2.97 (0.34)",2.29,3.64,"8.63 (26.26)","***"
"10","Slow","2.72 (0.37)",2.01,3.44,"7.44 (25.67)","***"
"11","Slow","1.89 (0.32)",1.27,2.52,"5.93 (27.04)","***"
"12","Slow","1.16 (0.32)",0.53,1.8,"3.6 (26.86)","**"
"13","Slow","0.17 (0.32)",-0.46,0.8,"0.53 (26.98)",""
"14","Slow","-0.38 (0.31)",-1,0.23,"-1.22 (27.19)",""
"15","Slow","-1.43 (0.32)",-2.05,-0.8,"-4.5 (27.1)","***"
"16","Slow","-2.03 (0.31)",-2.63,-1.43,"-6.63 (27.54)","***"
"17","Slow","-2.36 (0.31)",-2.98,-1.75,"-7.5 (27.19)","***"
"18","Slow","-2.57 (0.3)",-3.17,-1.97,"-8.44 (27.62)","***"
"19","Slow","-2.71 (0.31)",-3.31,-2.1,"-8.78 (27.46)","***"
"20","Slow","-2.76 (0.29)",-3.32,-2.2,"-9.65 (28.54)","***"
