Time.window,Statistic,Variable,F,num_df,den_df,Holm.Bonferroni.corrected_F_p,F_p.asterisks,Estimate,SE,Lower_CI,Upper_CI,t,df,Holm.Bonferroni.corrected_t_p,t_p.asterisks
Window 1 (160–216 ms),F,RT.based_Groups,0.154452794,1,44.00085299,1,,,,,,,,,
Window 1 (160–216 ms),F,condition,0.818362187,2,44.00159109,0.447754982,,,,,,,,,
Window 1 (160–216 ms),F,location,10.09621986,1,49.99930466,0.005095182,**,,,,,,,,
Window 1 (160–216 ms),F,RT.based_Groups:condition,0.168654401,2,44.00159202,1,,,,,,,,,
Window 1 (160–216 ms),F,RT.based_Groups:location,129.7864734,1,200706.9987,9.32E-30,***,,,,,,,,
Window 1 (160–216 ms),F,condition:location,95.55934529,2,200706.9984,9.90E-42,***,,,,,,,,
Window 1 (160–216 ms),F,RT.based_Groups:condition:location,28.6014091,2,200706.9984,3.80E-13,***,,,,,,,,
Window 1 (160–216 ms),t,(Intercept),,,,,,0.073705644,0.357501644,-0.626997579,0.774408866,0.206168685,76.46465893,0.837207105,
Window 1 (160–216 ms),t,RT.based_Groups1,,,,,,0.095671196,0.305639368,-0.503381965,0.694724356,0.313019872,44.15233441,1,
Window 1 (160–216 ms),t,conditionhaptic2visual,,,,,,0.446193377,0.252160432,-0.048041069,0.940427823,1.769482126,44.44290269,0.3346987,
Window 1 (160–216 ms),t,conditionvisual2visual,,,,,,0.204840226,0.238075737,-0.261788218,0.671468671,0.860399422,44.49805829,0.394181129,
Window 1 (160–216 ms),t,locationposterior,,,,,,0.791315534,0.226013022,0.348330011,1.234301057,3.501194435,50.83579303,0.001947956,**
Window 1 (160–216 ms),t,RT.based_Groups1:conditionhaptic2visual,,,,,,-0.227969171,0.252160432,-0.722203617,0.266265275,-0.90406401,44.44290537,1,
Window 1 (160–216 ms),t,RT.based_Groups1:conditionvisual2visual,,,,,,0.02800278,0.238075737,-0.438625664,0.494631224,0.11762131,44.49805786,1,
Window 1 (160–216 ms),t,RT.based_Groups1:locationposterior,,,,,,0.120049283,0.025159857,0.070735964,0.169362602,4.771461353,200706.9975,3.66E-06,***
Window 1 (160–216 ms),t,conditionhaptic2visual:locationposterior,,,,,,-0.351157295,0.03558141,-0.42089686,-0.281417731,-9.86912242,200706.9984,1.72E-22,***
Window 1 (160–216 ms),t,conditionvisual2visual:locationposterior,,,,,,0.122731396,0.03558141,0.052991832,0.192470961,3.449312293,200706.9981,0.001124264,**
Window 1 (160–216 ms),t,RT.based_Groups1:conditionhaptic2visual:locationposterior,,,,,,0.196828957,0.03558141,0.127089392,0.266568521,5.531791866,200706.9983,3.17E-08,***
Window 1 (160–216 ms),t,RT.based_Groups1:conditionvisual2visual:locationposterior,,,,,,-0.06051766,0.03558141,-0.130257224,0.009221904,-1.700822406,200706.9985,0.17795578,
Window 2 (270–370 ms),F,RT.based_Groups,0.065318152,1,44.0003086,1,,,,,,,,,
Window 2 (270–370 ms),F,condition,1.975879884,2,43.9985586,0.301501798,,,,,,,,,
Window 2 (270–370 ms),F,location,200.2887204,1,50.00103872,1.63E-18,***,,,,,,,,
Window 2 (270–370 ms),F,RT.based_Groups:condition,0.580698254,2,43.99856133,1,,,,,,,,,
Window 2 (270–370 ms),F,RT.based_Groups:location,226.0796552,1,286807.0005,1.79E-50,***,,,,,,,,
Window 2 (270–370 ms),F,condition:location,52.09928308,2,286807.0005,4.78E-23,***,,,,,,,,
Window 2 (270–370 ms),F,RT.based_Groups:condition:location,66.18224456,2,286807.0004,3.68E-29,***,,,,,,,,
Window 2 (270–370 ms),t,(Intercept),,,,,,-1.618302473,0.449803467,-2.499917269,-0.736687677,-3.597799018,69.0470945,0.001796538,**
Window 2 (270–370 ms),t,RT.based_Groups1,,,,,,-0.285622975,0.397193906,-1.06412303,0.492877081,-0.719102107,44.06437773,1,
Window 2 (270–370 ms),t,conditionhaptic2visual,,,,,,0.142188087,0.238114552,-0.324516435,0.60889261,0.597141528,44.36907237,1,
Window 2 (270–370 ms),t,conditionvisual2visual,,,,,,0.394151643,0.252455629,-0.100661389,0.888964675,1.561270965,44.32964647,0.251142708,
Window 2 (270–370 ms),t,locationposterior,,,,,,3.857302866,0.269517008,3.329049531,4.385556201,14.31190892,50.44303606,8.60E-19,***
Window 2 (270–370 ms),t,RT.based_Groups1:conditionhaptic2visual,,,,,,0.072638535,0.238114552,-0.394065988,0.539343057,0.3050571,44.36907599,1,
Window 2 (270–370 ms),t,RT.based_Groups1:conditionvisual2visual,,,,,,0.218145038,0.252455629,-0.276667995,0.71295807,0.864092588,44.32964934,1,
Window 2 (270–370 ms),t,RT.based_Groups1:locationposterior,,,,,,0.074111415,0.021872705,0.031240914,0.116981917,3.388305907,286807.0004,0.000703352,***
Window 2 (270–370 ms),t,conditionhaptic2visual:locationposterior,,,,,,-0.228558622,0.030932676,-0.289186667,-0.167930578,-7.388905615,286807.0007,2.96E-13,***
Window 2 (270–370 ms),t,conditionvisual2visual:locationposterior,,,,,,0.074389676,0.030932676,0.013761631,0.135017721,2.404889777,286807.0005,0.016177974,*
Window 2 (270–370 ms),t,RT.based_Groups1:conditionhaptic2visual:locationposterior,,,,,,0.320656444,0.030932676,0.2600284,0.381284489,10.36626917,286807.0005,7.14E-25,***
