Time.window,Statistic,Variable,F,num_df,den_df,Holm.Bonferroni.corrected_F_p,F_p.asterisks,Estimate,SE,Lower_CI,Upper_CI,t,df,Holm.Bonferroni.corrected_t_p,t_p.asterisks
Window 2 (270–370 ms),t,RT.based_Groups1:conditionvisual2visual:locationposterior,,,,,,0.026640667,0.030932676,-0.033987378,0.087268712,0.861246758,286807.0004,0.389102873,
Window 3 (350–550 ms),F,RT.based_Groups,0.726944323,1,43.98990208,1,,,,,,,,,
Window 3 (350–550 ms),F,condition,6.553435664,2,44.00066686,0.012908336,*,,,,,,,,
Window 3 (350–550 ms),F,location,119.5690592,1,49.99901704,2.19E-14,***,,,,,,,,
Window 3 (350–550 ms),F,RT.based_Groups:condition,0.657229425,2,44.00071102,1,,,,,,,,,
Window 3 (350–550 ms),F,RT.based_Groups:location,115.0228498,1,537932.0033,7.83E-27,***,,,,,,,,
Window 3 (350–550 ms),F,condition:location,49.06106387,2,537932.0026,4.95E-22,***,,,,,,,,
Window 3 (350–550 ms),F,RT.based_Groups:condition:location,595.9758179,2,537932.0033,1.15E-258,***,,,,,,,,
Window 3 (350–550 ms),t,(Intercept),,,,,,-3.014530769,0.3937355,-3.786252349,-2.24280919,-7.656233108,65.14121983,4.72E-10,***
Window 3 (350–550 ms),t,RT.based_Groups1,,,,,,0.108413767,0.353335882,-0.584124561,0.800952095,0.306829203,44.03213981,1,
Window 3 (350–550 ms),t,conditionhaptic2visual,,,,,,-0.151366089,0.265581938,-0.671906688,0.36917451,-0.5699412,44.14730536,1,
Window 3 (350–550 ms),t,conditionvisual2visual,,,,,,0.564116206,0.274108133,0.026864265,1.101368146,2.058006085,44.13675313,0.182098092,
Window 3 (350–550 ms),t,locationposterior,,,,,,2.442058611,0.233711608,1.983983859,2.900133363,10.44902576,50.28931159,1.01E-13,***
Window 3 (350–550 ms),t,RT.based_Groups1:conditionhaptic2visual,,,,,,-0.41154902,0.265581938,-0.932089619,0.108991579,-1.549612231,44.14736823,0.5134976,
Window 3 (350–550 ms),t,RT.based_Groups1:conditionvisual2visual,,,,,,-0.51681675,0.274108133,-1.054068691,0.02043519,-1.885448435,44.13682358,0.263849,
Window 3 (350–550 ms),t,RT.based_Groups1:locationposterior,,,,,,-0.50917202,0.015388892,-0.539334248,-0.479009792,-33.08698441,537932.0033,3.19E-239,***
Window 3 (350–550 ms),t,conditionhaptic2visual:locationposterior,,,,,,0.114024071,0.021763179,0.07136824,0.156679903,5.23931129,537932.0021,1.61E-07,***
Window 3 (350–550 ms),t,conditionvisual2visual:locationposterior,,,,,,0.215456066,0.021763179,0.172800234,0.258111897,9.900027113,537932.0023,1.25E-22,***
Window 3 (350–550 ms),t,RT.based_Groups1:conditionhaptic2visual:locationposterior,,,,,,0.733355275,0.021763179,0.690699444,0.776011107,33.69706526,537932.0033,4.64E-248,***
Window 3 (350–550 ms),t,RT.based_Groups1:conditionvisual2visual:locationposterior,,,,,,0.508296536,0.021763179,0.465640705,0.550952368,23.35580329,537932.0034,5.52E-120,***
Window 4 (500–750 ms),F,RT.based_Groups,0.005166591,1,43.9824435,1,,,,,,,,,
Window 4 (500–750 ms),F,condition,3.175290676,2,43.99721329,0.154520688,,,,,,,,,
Window 4 (500–750 ms),F,location,2.098844217,1,50.00476465,0.153652713,,,,,,,,,
Window 4 (500–750 ms),F,RT.based_Groups:condition,0.676250936,2,43.99716316,1,,,,,,,,,
Window 4 (500–750 ms),F,RT.based_Groups:location,134.5514448,1,896682.0033,1.25E-30,***,,,,,,,,
Window 4 (500–750 ms),F,condition:location,160.6645009,2,896682.0033,6.92E-70,***,,,,,,,,
Window 4 (500–750 ms),F,RT.based_Groups:condition:location,303.9476392,2,896682.0034,3.30E-132,***,,,,,,,,
Window 4 (500–750 ms),t,(Intercept),,,,,,-0.460929044,0.311694251,-1.071849775,0.149991688,-1.478785838,57.18482538,0.289370402,
Window 4 (500–750 ms),t,RT.based_Groups1,,,,,,0.047594633,0.290760401,-0.522295753,0.617485019,0.163690216,44.02300408,1,
Window 4 (500–750 ms),t,conditionhaptic2visual,,,,,,-0.234871253,0.281516062,-0.786642735,0.316900228,-0.834308535,44.08494312,1,
Window 4 (500–750 ms),t,conditionvisual2visual,,,,,,0.54629897,0.308060406,-0.057499425,1.150097365,1.773350161,44.05363687,0.249251949,
Window 4 (500–750 ms),t,locationposterior,,,,,,-0.390095147,0.152616167,-0.689222834,-0.090967461,-2.556053897,50.40029123,0.013646586,*
Window 4 (500–750 ms),t,RT.based_Groups1:conditionhaptic2visual,,,,,,0.04013309,0.281516062,-0.511638391,0.591904572,0.14256057,44.08489269,1,
Window 4 (500–750 ms),t,RT.based_Groups1:conditionvisual2visual,,,,,,-0.246756492,0.308060406,-0.850554887,0.357041903,-0.801000349,44.05359217,1,
Window 4 (500–750 ms),t,RT.based_Groups1:locationposterior,,,,,,-0.12765013,0.011720064,-0.150621457,-0.104678804,-10.89158944,896682.0042,3.81E-27,***
Window 4 (500–750 ms),t,conditionhaptic2visual:locationposterior,,,,,,0.230924611,0.016574674,0.19843825,0.263410973,13.93237717,896682.0038,1.63E-43,***
Window 4 (500–750 ms),t,conditionvisual2visual:locationposterior,,,,,,0.277363364,0.016574674,0.244877003,0.309849725,16.73416694,896682.0032,3.02E-62,***
Window 4 (500–750 ms),t,RT.based_Groups1:conditionhaptic2visual:locationposterior,,,,,,0.408607917,0.016574674,0.376121556,0.441094278,24.65254604,896682.0037,1.15E-133,***
Window 4 (500–750 ms),t,RT.based_Groups1:conditionvisual2visual:locationposterior,,,,,,0.209812117,0.016574674,0.177325756,0.242298478,12.65859681,896682.0035,3.03E-36,***
