"Time.bin","Group","Estimate.and.SE","Lower.CI","Upper.CI","t.and.df","p.asterisks"
"Intercept","Intercept","0.14 (0.23)",-0.3,0.59,"0.63 (44.48)",
"1","Quick","-0.21 (0.17)",-0.55,0.13,"-1.19 (259.19)",
"2","Quick","-0.16 (0.18)",-0.51,0.19,"-0.89 (210.07)",
"3","Quick","0.15 (0.17)",-0.18,0.48,"0.91 (356.06)",
"4","Quick","0.04 (0.17)",-0.28,0.37,"0.27 (405.17)",
"5","Quick","-0.12 (0.2)",-0.52,0.28,"-0.6 (93.49)",
"6","Quick","0.13 (0.18)",-0.22,0.49,"0.74 (188.75)",
"7","Quick","0.02 (0.17)",-0.31,0.35,"0.11 (343.86)",
"8","Quick","-0.08 (0.19)",-0.46,0.3,"-0.39 (119.34)",
"9","Quick","0.3 (0.19)",-0.06,0.66,"1.62 (156.72)",
"10","Quick","-0.12 (0.18)",-0.48,0.23,"-0.69 (181.38)",
"11","Quick","-0.36 (0.2)",-0.74,0.02,"-1.84 (115.36)",
"12","Quick","-0.23 (0.18)",-0.58,0.11,"-1.32 (226.67)",
"13","Quick","-0.62 (0.19)",-1,-0.24,"-3.23 (125.71)","**"
"14","Quick","-0.23 (0.2)",-0.63,0.17,"-1.14 (93.89)",
"15","Quick","0.13 (0.18)",-0.23,0.49,"0.7 (176.46)",
"16","Quick","-0.31 (0.24)",-0.77,0.15,"-1.33 (58.73)",
"17","Quick","0 (0.18)",-0.34,0.34,"0.01 (244.38)",
"18","Quick","-0.11 (0.22)",-0.54,0.32,"-0.5 (72.74)",
"19","Quick","0.18 (0.19)",-0.19,0.55,"0.94 (132.87)",
"20","Quick","-0.63 (0.2)",-1.02,-0.24,"-3.16 (104.15)","**"
"1","Slow","0 (0.27)",-0.52,0.52,"0.01 (42.09)",
"2","Slow","0.08 (0.29)",-0.48,0.65,"0.29 (37.66)",
"3","Slow","0.23 (0.31)",-0.38,0.84,"0.73 (34.4)",
"4","Slow","0.4 (0.32)",-0.22,1.02,"1.27 (34.13)",
"5","Slow","0.01 (0.3)",-0.57,0.59,"0.04 (36.27)",
"6","Slow","0.32 (0.29)",-0.25,0.89,"1.1 (37.63)",
"7","Slow","0.33 (0.28)",-0.22,0.89,"1.18 (38.67)",
"8","Slow","0.06 (0.26)",-0.45,0.56,"0.23 (44.52)",
"9","Slow","0.6 (0.28)",0.05,1.16,"2.14 (38.68)","*"
"10","Slow","0.1 (0.25)",-0.4,0.6,"0.4 (44.96)",
"11","Slow","0.02 (0.26)",-0.49,0.53,"0.08 (44.5)",
"12","Slow","0.15 (0.25)",-0.34,0.65,"0.6 (45.95)",
"13","Slow","0.03 (0.21)",-0.38,0.43,"0.12 (74.51)",
"14","Slow","0 (0.21)",-0.42,0.42,"0 (70.57)",
"15","Slow","0.56 (0.22)",0.13,0.98,"2.58 (67.09)","*"
"16","Slow","0.09 (0.21)",-0.33,0.51,"0.42 (70.34)",
"17","Slow","0.42 (0.21)",0.02,0.82,"2.03 (79.67)","*"
"18","Slow","0.16 (0.22)",-0.26,0.58,"0.74 (67.24)",
"19","Slow","0.66 (0.23)",0.22,1.1,"2.92 (59.75)","**"
"20","Slow","-0.13 (0.24)",-0.6,0.35,"-0.52 (50.34)",
